original_data,sku,store_view_code,categories,product_websites,visibility,url_key
,MS06-XS-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-xs-blue
,MS06-XS-Green,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-xs-green
,MS06-XS-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-xs-yellow
,MS06-S-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-s-blue
,MS06-S-Green,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-s-green
,MS06-S-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-s-yellow
,MS06-M-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-m-blue
,MS06-M-Green,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-m-green
,MS06-M-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-m-yellow
,MS06-L-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-l-blue
,MS06-L-Green,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-l-green
,MS06-L-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-l-yellow
,MS06-XL-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-xl-blue
,MS06-XL-Green,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-xl-green
,MS06-XL-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",zoltan-gym-tee-xl-yellow
,MS01-XS-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-xs-black
,MS01-XS-Brown,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-xs-brown
,MS01-XS-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-xs-yellow
,MS01-S-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-s-black
,MS01-S-Brown,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-s-brown
,MS01-S-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-s-yellow
,MS01-M-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-m-black
,MS01-M-Brown,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-m-brown
,MS01-M-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-m-yellow
,MS01-L-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-l-black
,MS01-L-Brown,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-l-brown
,MS01-L-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-l-yellow
,MS01-XL-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-xl-black
,MS01-XL-Brown,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-xl-brown
,MS01-XL-Yellow,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",aero-daily-fitness-tee-xl-yellow
,MS02-XS-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-xs-black
,MS02-XS-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-xs-blue
,MS02-XS-Gray,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-xs-gray
,MS02-S-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-s-black
,MS02-S-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-s-blue
,MS02-S-Gray,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-s-gray
,MS02-M-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-m-black
,MS02-M-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-m-blue
,MS02-M-Gray,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-m-gray
,MS02-L-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-l-black
,MS02-L-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-l-blue
,MS02-L-Gray,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-l-gray
,MS02-XL-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-xl-black
,MS02-XL-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-xl-blue
,MS02-XL-Gray,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",ryker-lumatech-trade-tee-v-neck-xl-gray
,MS10-XS-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",logan-heattec-reg-tee-xs-black
,MS10-XS-Blue,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",logan-heattec-reg-tee-xs-blue
,MS10-XS-Red,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",logan-heattec-reg-tee-xs-red
,MS10-S-Black,default,"Default Category/Men/Tops/Tees",base,"Not Visible Individually",logan-heattec-reg-tee-s-black
