original_data,sku,store_view_code,categories,product_websites,visibility,url_key
,WB02-XS-Orange,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-xs-orange
,WB02-XS-Yellow,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-xs-yellow
,WB02-S-Blue,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-s-blue
,WB02-S-Orange,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-s-orange
,WB02-S-Yellow,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-s-yellow
,WB02-M-Blue,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-m-blue
,WB02-M-Orange,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-m-orange
,WB02-M-Yellow,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-m-yellow
,WB02-L-Blue,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-l-blue
,WB02-L-Orange,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-l-orange
,WB02-L-Yellow,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-l-yellow
,WB02-XL-Blue,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-xl-blue
,WB02-XL-Orange,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-xl-orange
,WB02-XL-Yellow,default,"Default Category/Women/Tops/Bras & Tanks",base,"Not Visible Individually",erica-evercool-sports-bra-xl-yellow
,WB03-XS-Green,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-xs-green
,WB03-XS-Red,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-xs-red
,WB03-XS-Yellow,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-xs-yellow
,WB03-S-Green,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-s-green
,WB03-S-Red,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-s-red
,WB03-S-Yellow,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-s-yellow
,WB03-M-Green,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-m-green
,WB03-M-Red,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-m-red
,WB03-M-Yellow,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-m-yellow
,WB03-L-Green,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-l-green
,WB03-L-Red,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-l-red
,WB03-L-Yellow,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-l-yellow
,WB03-XL-Green,default,"Default Category/Women/Tops/Bras & Tanks,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",celeste-sports-bra-xl-green
