original_data,sku,store_view_code,categories,product_websites,visibility,url_key
,WH03-L-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",autumn-pullie-l-purple
,WH03-L-Red,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",autumn-pullie-l-red
,WH03-XL-Green,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",autumn-pullie-xl-green
,WH03-XL-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",autumn-pullie-xl-purple
,WH03-XL-Red,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",autumn-pullie-xl-red
,WH04-XS-Blue,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-xs-blue
,WH04-XS-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-xs-orange
,WH04-XS-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-xs-purple
,WH04-S-Blue,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-s-blue
,WH04-S-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-s-orange
,WH04-S-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-s-purple
,WH04-M-Blue,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-m-blue
,WH04-M-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-m-orange
,WH04-M-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-m-purple
,WH04-L-Blue,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-l-blue
,WH04-L-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-l-orange
,WH04-L-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-l-purple
,WH04-XL-Blue,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-xl-blue
,WH04-XL-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-xl-orange
,WH04-XL-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",miko-pullover-hoodie-xl-purple
,WH05-XS-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-xs-orange
,WH05-XS-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-xs-purple
,WH05-XS-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-xs-white
,WH05-S-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-s-orange
,WH05-S-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-s-purple
,WH05-S-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-s-white
,WH05-M-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-m-orange
,WH05-M-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-m-purple
,WH05-M-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-m-white
,WH05-L-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-l-orange
,WH05-L-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-l-purple
,WH05-L-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-l-white
,WH05-XL-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-xl-orange
,WH05-XL-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-xl-purple
,WH05-XL-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",selene-yoga-hoodie-xl-white
,WH06-XS-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",daphne-full-zip-hoodie-xs-purple
,WH06-S-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",daphne-full-zip-hoodie-s-purple
,WH06-M-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",daphne-full-zip-hoodie-m-purple
,WH06-L-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",daphne-full-zip-hoodie-l-purple
,WH06-XL-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts",base,"Not Visible Individually",daphne-full-zip-hoodie-xl-purple
,WH07-XS-Gray,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-xs-gray
,WH07-XS-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-xs-purple
,WH07-XS-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-xs-white
,WH07-S-Gray,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-s-gray
,WH07-S-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-s-purple
,WH07-S-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-s-white
,WH07-M-Gray,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-m-gray
,WH07-M-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-m-purple
,WH07-M-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-m-white
,WH07-L-Gray,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-l-gray
,WH07-L-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-l-purple
,WH07-L-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-l-white
,WH07-XL-Gray,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-xl-gray
,WH07-XL-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-xl-purple
,WH07-XL-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Collections/New Luma Yoga Collection,Default Category/Collections/Erin Recommends,Default Category",base,"Not Visible Individually",phoebe-zipper-sweatshirt-xl-white
,WH08-XS-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Promotions/Women Sale,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",cassia-funnel-sweatshirt-xs-orange
,WH08-XS-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Promotions/Women Sale,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",cassia-funnel-sweatshirt-xs-purple
,WH08-XS-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Promotions/Women Sale,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",cassia-funnel-sweatshirt-xs-white
,WH08-S-Orange,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Promotions/Women Sale,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",cassia-funnel-sweatshirt-s-orange
,WH08-S-Purple,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Promotions/Women Sale,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",cassia-funnel-sweatshirt-s-purple
,WH08-S-White,default,"Default Category/Women/Tops/Hoodies & Sweatshirts,Default Category/Promotions/Women Sale,Default Category/Collections/Performance Fabrics,Default Category",base,"Not Visible Individually",cassia-funnel-sweatshirt-s-white
